x,y,z_estimate
0.21,0.1,-0.000449677
0.211,0.1,-0.000427145
0.212,0.1,-0.000402638
0.213,0.1,-0.000377611
0.214,0.1,-0.000353763
0.215,0.1,-0.000323938
0.216,0.1,-0.000303041
0.217,0.1,-0.000278748
0.218,0.1,-0.000249825
0.219,0.1,-0.000226305
0.22,0.1,-0.000198329
0.221,0.1,-0.000175496
0.222,0.1,-0.000152471
0.223,0.1,-0.000123929
0.224,0.1,-0.000101543
0.225,0.1,-6.98948e-05
0.226,0.1,-4.78706e-05
0.227,0.1,-2.90229e-05
0.228,0.1,-2.2467e-06
0.229,0.1,1.63215e-05
0.23,0.1,4.18345e-05
0.231,0.1,6.13903e-05
0.232,0.1,8.40611e-05
0.233,0.1,0.00011049
0.234,0.1,0.000129392
0.235,0.1,0.000149246
0.236,0.1,0.000172973
0.237,0.1,0.00019028
0.238,0.1,0.000219206
0.239,0.1,0.000231374
0.24,0.1,0.000247641
0.241,0.1,0.000269664
0.242,0.1,0.000280777
0.243,0.1,0.000308954
0.244,0.1,0.000317987
0.245,0.1,0.000335086
0.246,0.1,0.000351719
0.247,0.1,0.00036284
0.248,0.1,0.000381852
0.249,0.1,0.000388067
0.25,0.1,0.000400313
0.251,0.1,0.000408855
0.252,0.1,0.000415168
0.253,0.1,0.000425034
0.254,0.1,0.000428039
0.255,0.1,0.000429862
0.256,0.1,0.00043173
0.257,0.1,0.000431963
0.258,0.1,0.000427762
0.259,0.1,0.000425378
0.26,0.1,0.000421468
0.261,0.1,0.000415162
0.262,0.1,0.00040967
0.263,0.1,0.000401211
0.264,0.1,0.000393716
0.265,0.1,0.000385981
0.266,0.1,0.000374859
0.267,0.1,0.000366275
0.268,0.1,0.00035415
0.269,0.1,0.000345462
0.27,0.1,0.000334707
0.271,0.1,0.000326378
0.272,0.1,0.000316517
0.273,0.1,0.000304698
0.274,0.1,0.000297787
0.275,0.1,0.000286125
0.276,0.1,0.000276614
0.277,0.1,0.000265279
0.278,0.1,0.000255074
0.279,0.1,0.000246385
0.28,0.1,0.000237276
0.281,0.1,0.000226539
0.282,0.1,0.000214984
0.283,0.1,0.00020403
0.284,0.1,0.000190971
0.285,0.1,0.000180794
0.286,0.1,0.000171149
0.287,0.1,0.00015824
0.288,0.1,0.000147148
0.289,0.1,0.000134027
0.29,0.1,0.000122041
0.291,0.1,0.000109091
0.292,0.1,9.90799e-05
0.293,0.1,8.70719e-05
0.294,0.1,7.71555e-05
0.295,0.1,6.92055e-05
0.296,0.1,5.62163e-05
0.297,0.1,4.73226e-05
0.298,0.1,3.58827e-05
0.299,0.1,2.60761e-05
0.3,0.1,1.63545e-05
