4,105.5,0,86.5,105.5,0
86.5,105.5,0,86.5,93,0
86.5,93,0,4,93,0
4,93,0,4,105.5,0
9,70,0,81,70,0
81,70,0,81,56.5,0
81,56.5,0,9,56.5,0
9,56.5,0,9,70,0
0,32.5,0,91,32.5,0
91,32.5,0,91,20,0
91,20,0,0,20,0
0,20,0,0,32.5,0
103,93.5,0,123.5,93.5,0
123.5,93.5,0,123.5,110.5,0
123.5,110.5,0,137.5,110.5,0
137.5,110.5,0,137.5,93.5,0
137.5,93.5,0,166,93.5,0
166,93.5,0,166,110.5,0
166,110.5,0,180,110.5,0
180,110.5,0,180,93.5,0
180,93.5,0,197,93.5,0
197,93.5,0,197,80.5,0
197,80.5,0,180,80.5,0
180,80.5,0,180,51.5,0
180,51.5,0,197,51.5,0
197,51.5,0,197,38.5,0
197,38.5,0,180,38.5,0
180,38.5,0,180,15.5,0
180,15.5,0,166,15.5,0
166,15.5,0,166,38.5,0
166,38.5,0,136,38.5,0
136,38.5,0,134,33,0
134,33,0,130,27,0
130,27,0,126,23,0
126,23,0,122,20,0
122,20,0,117,18,0
117,18,0,110,16,0
110,16,0,103.5,15.5,0
103.5,15.5,0,100,25.5,0
100,25.5,0,110,28.5,0
110,28.5,0,115,31,0
115,31,0,118,34,0
118,34,0,120,38.5,0
120,38.5,0,103,38.5,0
103,38.5,0,103,51.5,0
103,51.5,0,123.5,51.5,0
123.5,51.5,0,123.5,80.5,0
123.5,80.5,0,103,80.5,0
103,80.5,0,103,93.5,0
137.5,80.5,0,166,80.5,0
166,80.5,0,166,51.5,0
166,51.5,0,137.5,51.5,0
137.5,51.5,0,137.5,80.5,0
225.5,111.5,0,240.5,111.5,0
240.5,111.5,0,239,102,0
239,102,0,237,94,0
237,94,0,234,85,0
234,85,0,234,15.5,0
234,15.5,0,220,15.5,0
220,15.5,0,220,60,0
220,60,0,215,54,0
215,54,0,209.5,48.5,0
209.5,48.5,0,205,61.5,0
205,61.5,0,210,67.5,0
210,67.5,0,214,74,0
214,74,0,217,80,0
217,80,0,220,87,0
220,87,0,222,93,0
222,93,0,223.5,100,0
223.5,100,0,225,108,0
225,108,0,225.5,111.5,0
266.5,113,0,280,105,0
280,105,0,286.5,99.5,0
283,95,0,305.5,95,0
305.5,95,0,305.5,82,0
305.5,82,0,281.5,82,0
281.5,82,0,281.5,64.5,0
281.5,64.5,0,304,64.5,0
304,64.5,0,304,51.5,0
304,51.5,0,281.5,51.5,0
281.5,51.5,0,281.5,28.5,0
281.5,28.5,0,306.5,28.5,0
306.5,28.5,0,306.5,15.5,0
306.5,15.5,0,241,15.5,0
241,15.5,0,241,28.5,0
241,28.5,0,266,28.5,0
266,28.5,0,266,51.5,0
266,51.5,0,244.5,51.5,0
244.5,51.5,0,244.5,64.5,0
244.5,64.5,0,266,64.5,0
266,64.5,0,266,82,0
266,82,0,241.5,82,0
241.5,82,0,241.5,95,0
241.5,95,0,270,95,0
270,95,0,258.5,105,0
258.5,105,0,266.5,113,0
316.5,98.5,0,338.5,98.5,0
338.5,98.5,0,338.5,111.5,0
338.5,111.5,0,353,111.5,0
353,111.5,0,353,99,0
353,99,0,417,99,0
417,99,0,417,86,0
417,86,0,352,86,0
352,86,0,351,78.5,0
351,78.5,0,411.5,78.5,0
411.5,78.5,0,410.5,70,0
410.5,70,0,407.5,60,0
407.5,60,0,405,54,0
405,54,0,400,45.5,0
400,45.5,0,395.5,40,0
395.5,40,0,390,34.5,0
390,34.5,0,398,31,0
398,31,0,406,29,0
406,29,0,410,28,0
410,28,0,417,27,0
417,27,0,414.5,15,0
414.5,15,0,405,16,0
405,16,0,398,17,0
398,17,0,391,19,0
391,19,0,384,22,0
384,22,0,377.5,26,0
377.5,26,0,370,21.5,0
370,21.5,0,365,19,0
365,19,0,360,17.5,0
360,17.5,0,355,16,0
355,16,0,350,15,0
350,15,0,341.5,15,0
341.5,15,0,339.5,26.5,0
339.5,26.5,0,350,28,0
350,28,0,357,30,0
357,30,0,365,34,0
365,34,0,360,39.5,0
360,39.5,0,353,48,0
353,48,0,350,53,0
350,53,0,347.5,58,0
347.5,58,0,345.5,50,0
345.5,50,0,342,40,0
342,40,0,337,31,0
337,31,0,332,24,0
332,24,0,325,18,0
325,18,0,319,15,0
319,15,0,313,25,0
313,25,0,317,28,0
317,28,0,322,33,0
322,33,0,325,37,0
325,37,0,330,46,0
330,46,0,333,55,0
333,55,0,335,64,0
335,64,0,336,70,0
336,70,0,337.5,86,0
337.5,86,0,316.5,86,0
316.5,86,0,316.5,98.5,0
357.5,67,0,395,67,0
395,67,0,393,60,0
393,60,0,390,55,0
390,55,0,387,50,0
387,50,0,382,45,0
382,45,0,378,42,0
378,42,0,371,48,0
371,48,0,366,53,0
366,53,0,361,60,0
361,60,0,357.5,67,0
429,107,0,458,107,0
458,107,0,458,96,0
458,96,0,453,86,0
453,86,0,450,81,0
450,81,0,447,77,0
447,77,0,445,75,0
445,75,0,459,75,0
459,75,0,459,64,0
459,64,0,456,50,0
456,50,0,452.5,40,0
452.5,40,0,451,37,0
451,37,0,456,33,0
456,33,0,461,30,0
461,30,0,467,28,0
467,28,0,475,27,0
475,27,0,526,27,0
526,27,0,469,15,0
469,15,0,464,16,0
464,16,0,456,19,0
456,19,0,450,23.5,0
450,23.5,0,446,27,0
446,27,0,441,22,0
441,22,0,436,18,0
436,18,0,429,15,0
429,15,0,426.5,26,0
426.5,26,0,431.5,30,0
431.5,30,0,435,33,0
435,33,0,438,37.5,0
438,37.5,0,433,45,0
433,45,0,430,50,0
430,50,0,427,57,0
427,57,0,438,60,0
438,60,0,444,48,0
444,48,0,446,56,0
446,56,0,447,64.5,0
447,64.5,0,429,64.5,0
429,64.5,0,429,76.5,0
429,76.5,0,433,80,0
433,80,0,437,85,0
437,85,0,444,95,0
444,95,0,429,95,0
429,95,0,429,107,0
463.5,106,0,482,106,0
482,106,0,482,111,0
482,111,0,496,111,0
496,111,0,496,106,0
496,106,0,520,106,0
520,106,0,520,91,0
520,91,0,525,91,0
525,91,0,525,79,0
525,79,0,520,79,0
520,79,0,520,65,0
520,65,0,496,65,0
496,65,0,496,60,0
496,60,0,520,60,0
520,60,0,520,50,0
520,50,0,496,50,0
496,50,0,496,44,0
496,44,0,525,44,0
525,44,0,525,34,0
525,34,0,496,34,0
496,34,0,496,29,0
496,29,0,482,29,0
482,29,0,482,34,0
482,34,0,459,34,0
459,34,0,459,44,0
459,44,0,482,44,0
482,44,0,482,50,0
482,50,0,463,50,0
463,50,0,463,60,0
463,60,0,482,60,0
482,60,0,482,65,0
482,65,0,463,65,0
463,65,0,463,75,0
463,75,0,482,75,0
482,75,0,482,79,0
482,79,0,458,79,0
458,79,0,458,91,0
458,91,0,482,91,0
482,91,0,482,96,0
482,96,0,463.5,96,0
463.5,96,0,463.5,106,0
496,96,0,506,96,0
506,96,0,506,91,0
506,91,0,496,91,0
496,91,0,496,96,0
496,79,0,506,79,0
506,79,0,506,75,0
506,75,0,496,75,0
496,75,0,496,79,0
543,111,0,578,111,0
578,111,0,578,99,0
578,99,0,543,99,0
543,99,0,543,111,0
539,97,0,580,97,0
580,97,0,580,84,0
580,84,0,539,84,0
539,84,0,539,97,0
543,82,0,578,82,0
578,82,0,578,71,0
578,71,0,543,71,0
543,71,0,543,82,0
543,69,0,578,69,0
578,69,0,578,57,0
578,57,0,543,57,0
543,57,0,543,69,0
543,54,0,577,54,0
577,54,0,577,15,0
577,15,0,543,15,0
543,15,0,543,54,0
556,43,0,564,43,0
564,43,0,564,27,0
564,27,0,556,27,0
556,27,0,556,43,0
588,111,0,630,111,0
630,89,0,631,88,0
631,88,0,633,87,0
633,87,0,638,87,0
638,87,0,637,74,0
637,74,0,620,74,0
620,74,0,618,75,0
618,75,0,616,77,0
616,77,0,616,100,0
616,100,0,602,100,0
602,100,0,602,93,0
602,93,0,600,85,0
600,85,0,597,79,0
597,79,0,593,75,0
593,75,0,589,73,0
589,73,0,584,72,0
584,72,0,581,84,0
581,84,0,584,86,0
584,86,0,586,89,0
586,89,0,587,91,0
587,91,0,588,96,0
588,96,0,588,111,0
582,69,0,637,69,0
637,69,0,636,60,0
636,60,0,634,54,0
634,54,0,631,48,0
631,48,0,627,42,0
627,42,0,623,38,0
623,38,0,619,34,0
619,34,0,624,32,0
624,32,0,634,30,0
634,30,0,639,29,0
639,29,0,636,16,0
636,16,0,630,16.5,0
630,16.5,0,620,19,0
620,19,0,612,23,0
612,23,0,608,24.5,0
608,24.5,0,600,21,0
600,21,0,590,17,0
590,17,0,583,15,0
583,15,0,581,28,0
581,28,0,591,31,0
591,31,0,598,34.5,0
598,34.5,0,590,43,0
590,43,0,585,50,0
585,50,0,584,52,0
584,53,0,596,55,0
596,55,0,600,50,0
600,50,0,608,42,0
608,42,0,612,46,0
612,46,0,617,52,0
617,52,0,620,58,0
620,58,0,582,58,0
582,58,0,582,69,0
